Y	X1	X2	X3	X4	X5	X6
98	4	7	1	0,8	23,61	85,25
60	4	7	1	1	28,14	88,57
73	5	7	0	0,6	20,72	84,62
82	5	7	0	0,8	24,20	81,19
95	5	7	0	1	25,97	79,00
81	5	7	1	0,6	21,35	87,89
83	5	7	1	0,8	26,15	89,67
80	5	7	1	1	24,84	82,91
95	6	7	0	0,6	26,93	85,87
49	6	7	0	0,8	29,00	83,61
38	6	7	0	1	24,17	76,37
73	6	7	1	0,6	20,35	72,63
75	6	7	1	0,8	24,37	72,85
58	6	7	1	1	26,78	77,26
43	7	7	0	0,6	24,65	82,64
49	7	7	0	0,8	25,20	79,25
51	7	7	0	1	27,64	75,49
74	7	7	1	0,6	23,22	85,48
55	7	7	1	0,8	27,18	78,66
56	7	7	1	1	20,09	81,83
100	3	8	0	0,6	21,34	77,76
95	3	8	0	0,8	29,68	82,95
100	3	8	0	1	27,35	70,70
100	3	8	1	0,6	24,34	80,71
100	3	8	1	0,8	24,14	71,16
100	3	8	1	1	25,02	87,49
100	4	8	0	0,6	28,88	78,22
95	4	8	0	0,8	20,80	88,70
100	4	8	0	1	20,55	73,75
100	4	8	1	0,6	21,61	85,56
100	4	8	1	0,8	21,94	89,92
100	4	8	1	1	22,07	85,37
100	5	8	0	0,6	28,40	79,65
98	5	8	0	0,8	24,14	86,22
100	5	8	0	1	23,01	74,41
100	5	8	1	0,6	22,23	87,70
100	5	8	1	0,8	29,87	79,70
100	5	8	1	1	27,77	81,68
80	6	8	0	0,6	26,52	70,96
100	6	8	0	0,8	23,16	80,11
100	6	8	0	1	28,82	83,84
100	6	8	1	0,6	27,33	82,57
95	6	8	1	0,8	23,62	76,21
80	6	8	1	1	29,45	77,00
83	7	8	0	0,6	22,35	85,91
98	7	8	0	0,8	23,99	86,13
83	7	8	0	1	28,42	72,22
70	7	8	1	0,6	20,96	81,02
100	7	8	1	0,8	29,30	81,46
100	7	8	1	1	21,00	85,24
57	8	8	0	0,6	26,97	71,65
70	8	8	0	0,8	27,16	70,09
70	8	8	0	1	23,49	79,16
55	8	8	1	0,6	25,12	76,74
46	8	8	1	0,8	29,25	85,59
47	8	8	1	1	22,26	76,29
100	3	9	0	0,6	24,65	76,50
100	3	9	0	0,8	25,19	76,77
100	3	9	0	1	29,69	89,76
100	3	9	1	0,6	25,18	89,92
100	3	9	1	0,8	24,66	80,32
100	3	9	1	1	24,56	81,64
100	4	9	0	0,6	26,17	74,62
100	4	9	0	0,8	23,47	71,58
100	4	9	0	1	22,12	82,96
100	4	9	1	0,6	28,76	82,04
100	4	9	1	0,8	23,21	75,05
100	4	9	1	1	25,20	85,60
100	5	9	0	0,6	22,86	74,41
100	5	9	0	0,8	25,12	88,96
100	5	9	0	1	29,41	85,24
100	5	9	1	0,6	27,94	77,92
100	5	9	1	0,8	29,32	81,27
100	5	9	1	1	25,84	79,28
100	6	9	0	0,6	24,43	74,42
100	6	9	0	0,8	28,79	71,45
100	6	9	0	1	26,67	73,16
100	6	9	1	0,6	21,05	79,18
99	6	9	1	0,8	26,10	88,96
100	6	9	1	1	24,65	82,12
98	7	9	0	0,6	28,27	87,02
100	7	9	0	0,8	23,51	73,62
98	7	9	0	1	22,59	76,66
100	7	9	1	0,6	26,67	88,71
97	7	9	1	0,8	28,53	70,14
99	7	9	1	1	21,37	79,83
100	8	9	0	0,6	20,28	78,58
100	8	9	0	0,8	28,06	79,62
100	8	9	0	1	25,79	72,37
98	8	9	1	0,6	20,75	73,07
100	8	9	1	0,8	22,47	84,37
96	8	9	1	1	29,20	89,66
