"pais"			"region"	"pib"	"pob"		"huella"	"co2"
"El Salvador"		2	34396000000	6881000		1.55	6597.8
"Angola"		6	32224000000	15941000	0.82	4854.4
"Uruguay"		3	32174000000	3463000		4.91	6408.7
"Camboya"		8	31873000000	14071000	0.83	536
"Luxemburgo"		4	30923000000	465000		NA	8423.5
"Paraguay"		3	28143000000	6158000		2.84	3658.9
"Latvia"		4	27740000000	2307000		3.74	6490
"Jordania"		5	24868000000	5703000		1.71	NA
"Bolivia"		3	24299000000	9182000		1.29	NA
"Tanzania"		6	24181000000	38329000	1.02	2695.2
"Mozambique"		6	23583000000	19792000	0.76	1214.6
"Panama"		2	22235000000	3232000		2.35	5708.9
"Chad"			6	20213000000	9749000		0.75	130.1
"Honduras"		2	20189000000	7205000		1.43	4958.1
"Nicaragua"		2	18902000000	5487000		1.26	3619.7
"Estonia"		4	18563000000	1330000		7.12	NA
"Senegal"		6	18242000000	11658000	1.06	3928.2
"Guinea"		6	17413000000	9402000		0.85	1336.3
"Botswana"		6	16005000000	1765000		1.68	4033.3
"Albania"		4	15772000000	3130000		1.86	3085.1
"Burkina Faso"		6	15071000000	13228000	0.9	1080.9
"Madagascar"		6	14746000000	18606000	0.93	2467.3
"Mauritius"		6	14741000000	1245000		NA	2796
"Haiti"			2	14475000000	8528000		0.78	1409.9
"Papua Nueva Guinea"	8	14425000000	5887000		1.4	2445.4
"Namibia"		6	13139000000	2031000		0.66	1944.9
"Armenia"		7	12875000000	3016000		1.16	NA
"Mali"			6	12291000000	13518000	0.86	568.3
"Laos"			8	11208000000	5924000		0.91	412.6
"Rwanda"		6	11155000000	9038000		0.9	595.8
"Jamaica"		2	10531000000	2651000		2.68	NA
"Niger"			6	10128000000	13957000	0.97	1195.9
"Kyrgyzstan"		7	9834000000	5264000		1.87	NA
"Zambia"		6	9706000000	11668000	1.21	NA
"Islandia"		4	9596000000	295000		6.02	NA
"Gabon"			6	9227000000	1384000		2.06	1454.6
"Togo"			6	8541000000	6145000		0.82	1608.9
"Benin"			6	7767000000	8439000		0.97	NA
"Tajikistan"		7	7673000000	6507000		0.9	NA
"Moldova"		4	7349000000	4206000		2.47	NA
"Malawi"		6	7065000000	12884000	0.87	782.3
"Mauritania"		6	6513000000	3069000		1.22	NA
"Swazilandia"		6	5552000000	1032000		NA	387.7
"Fiji"			8	5167000000	848000		NA	700.9
"Mongolia"		7	5127000000	2646000		4.3	NA
"Burundi"		6	4957000000	7548000		0.75	240
"Lesotho"		6	4697000000	1795000		NA	209.6
"Rep. Africa Central"	6	4443000000	4038000		1.12	285.8
"Sierra Leone"		6	4429000000	5525000		0.73	572
"Guinea-Bissau"		6	1105000000	1586000		0.8	286.2
