X1	X2	X3	X4	X5	X6	X7	X8	X9	X10	X11	X12	X13	X14	X15	X16	X17	X18	X19	X20	X21	X22
II	1	0	1	0	0,43	7,51	0,27	39,28	13,24	0,36	0,35	23,49	0,48	0,31	1,23	1,52	0,99	48,24	17,00	20,99	2,59
II	1	1	0	1	0,34	18,19	0,26	39,83	12,45	0,29	0,12	22,07	0,20	0,13	2,62	2,75	0,38	37,00	17,32	15,57	0,68
II	1	1	1	1	0,50	21,24	0,27	38,48	12,21	0,50	0,35	34,53	0,16	0,39	1,94	2,73	0,97	23,93	15,50	21,76	1,48
II	0	0	1	0	0,41	38,64	0,17	38,47	10,93	0,16	0,16	15,64	0,46	0,25	2,83	2,50	0,80	72,22	14,50	18,98	3,37
II	0	1	0	0	0,38	12,34	0,35	39,98	12,05	0,50	0,19	17,62	0,10	0,17	1,64	2,58	0,83	69,94	13,97	24,19	2,06
II	1	1	1	1	0,44	27,57	0,40	39,40	13,39	0,35	0,29	12,77	0,42	0,47	1,56	1,32	0,38	5,12	15,35	24,64	0,66
II	0	1	1	1	0,25	9,35	0,16	38,74	11,51	0,26	0,33	33,97	0,41	0,37	0,99	3,21	0,94	31,01	15,57	16,07	1,46
II	1	1	0	0	0,26	37,87	0,31	38,00	14,33	0,32	0,28	31,64	0,11	0,24	2,77	2,09	0,37	73,95	13,76	16,89	1,46
II	0	1	1	0	0,24	23,32	0,29	38,99	14,14	0,90	0,18	13,33	0,41	0,25	1,67	2,63	0,43	37,25	16,82	12,89	0,81
II	0	0	1	1	0,15	18,50	0,22	38,43	12,07	0,38	0,11	25,06	0,13	0,16	1,36	1,36	0,23	45,41	16,56	24,85	3,15
II	1	1	1	1	0,42	11,47	0,45	38,79	14,88	0,44	0,32	35,42	0,19	0,23	0,72	2,77	0,59	60,80	14,17	25,36	0,72
II	0	1	1	0	0,12	16,73	0,18	38,71	13,38	0,47	0,23	25,93	0,17	0,31	2,62	3,18	0,30	38,29	16,64	20,21	2,41
II	1	1	1	0	0,15	9,72	0,18	39,22	14,86	0,18	0,36	29,06	0,24	0,20	1,42	1,24	0,69	59,62	14,91	27,08	2,95
II	1	1	0	1	0,13	33,11	0,43	38,01	14,63	0,83	0,22	33,92	0,18	0,18	2,26	1,92	0,14	40,59	13,35	25,40	1,05
II	0	1	0	0	0,36	21,59	0,29	38,03	12,92	0,48	0,43	16,24	0,25	0,40	2,38	3,50	0,74	7,04	12,54	6,57	1,97
II	1	1	0	0	0,18	9,97	0,13	38,02	14,96	0,72	0,26	11,42	0,46	0,24	1,58	1,89	0,87	12,70	16,08	22,74	0,52
II	1	0	1	1	0,46	12,04	0,18	39,58	13,62	0,25	0,39	35,01	0,25	0,17	1,61	2,12	0,56	72,74	16,64	21,77	3,64
II	1	0	1	0	0,47	32,09	0,24	39,75	11,05	0,95	0,13	28,28	0,22	0,12	2,80	2,31	0,65	18,54	16,05	12,07	1,76
II	1	1	0	1	0,40	4,01	0,36	39,74	10,85	0,23	0,23	12,84	0,42	0,31	2,11	2,90	0,73	59,76	15,78	11,02	0,93
II	0	1	1	0	0,16	20,73	0,11	38,02	10,97	0,75	0,18	20,14	0,21	0,36	1,66	3,17	0,63	42,31	17,29	8,84	0,90
II	1	1	1	1	0,11	15,59	0,11	39,74	12,18	0,65	0,41	20,71	0,48	0,30	1,35	2,55	0,46	28,36	13,03	24,19	1,41
II	1	0	1	1	0,26	10,98	0,14	38,09	12,29	0,34	0,42	32,52	0,13	0,31	1,84	2,87	0,45	11,70	14,09	23,30	1,14
II	1	0	1	1	0,15	10,46	0,12	39,47	11,17	0,74	0,17	30,73	0,35	0,14	1,20	2,43	0,43	70,25	13,99	26,49	3,48
II	1	1	1	0	0,21	19,82	0,36	38,53	12,71	0,73	0,24	32,97	0,25	0,49	2,16	2,18	0,36	10,55	13,52	9,98	0,57
II	0	1	0	1	0,13	6,82	0,45	38,37	14,66	0,15	0,24	30,37	0,14	0,49	0,88	1,16	0,52	72,27	15,17	24,72	2,27
II	1	0	1	0	0,45	23,24	0,16	39,87	13,65	0,59	0,22	25,71	0,28	0,34	2,44	1,52	0,54	25,93	12,22	15,07	1,28
II	0	1	1	1	0,26	9,62	0,32	39,70	13,78	0,11	0,18	37,33	0,25	0,32	2,90	1,16	0,67	9,72	16,44	19,45	1,30
II	1	1	1	0	0,19	35,98	0,14	39,31	14,68	0,39	0,23	13,57	0,22	0,15	2,90	2,55	0,94	34,48	16,64	13,52	2,80
II	1	1	1	1	0,47	16,50	0,34	38,16	13,02	0,68	0,39	9,74	0,11	0,14	2,91	1,65	0,61	44,02	16,47	19,33	0,74
II	1	1	0	1	0,32	26,74	0,11	38,89	14,32	0,71	0,27	30,30	0,47	0,13	1,71	1,18	0,99	45,65	16,08	12,28	2,95
II	1	0	0	1	0,38	17,96	0,24	39,85	10,11	0,59	0,31	33,15	0,25	0,13	2,83	3,49	0,16	20,37	16,06	18,27	3,43
II	1	1	1	0	0,13	37,72	0,24	38,98	14,95	0,20	0,15	27,20	0,18	0,38	1,37	1,48	0,61	0,76	14,80	20,51	2,17
II	1	0	1	1	0,23	22,99	0,44	39,99	11,59	0,68	0,48	26,09	0,43	0,14	1,06	3,48	0,30	44,82	12,32	15,03	1,82
II	1	1	1	1	0,29	25,05	0,37	38,57	13,03	0,66	0,42	19,34	0,28	0,16	0,73	2,98	0,28	62,90	14,62	29,43	0,68
II	0	0	1	1	0,18	15,82	0,27	39,68	14,49	0,26	0,27	15,79	0,27	0,40	1,15	2,06	0,21	19,52	15,15	24,35	3,96
II	1	1	0	0	0,20	21,42	0,35	38,17	14,85	0,54	0,46	33,79	0,14	0,18	2,51	2,09	0,15	57,16	16,59	10,06	2,68
III	0	1	0	0	0,32	17,21	0,25	38,27	11,34	0,48	0,31	39,20	0,38	0,44	1,39	2,11	0,38	35,84	13,33	17,55	1,35
III	0	1	1	0	0,43	38,53	0,12	39,75	13,20	0,96	0,20	19,50	0,19	0,26	2,09	1,34	0,76	49,65	16,93	11,34	3,12
III	0	1	0	1	0,35	26,91	0,44	39,94	12,89	0,38	0,23	39,34	0,23	0,35	1,94	1,38	0,87	66,71	12,68	13,77	0,69
III	1	0	1	0	0,43	31,44	0,48	38,68	14,07	0,36	0,43	34,76	0,20	0,39	0,95	2,00	0,83	70,36	14,83	14,01	0,66
III	1	1	0	1	0,37	11,14	0,49	39,34	13,15	0,59	0,18	27,04	0,16	0,27	1,51	2,57	0,96	49,69	16,40	17,46	3,14
III	1	0	0	1	0,17	27,21	0,14	39,91	13,08	0,98	0,41	9,73	0,13	0,50	2,70	3,37	0,45	7,24	15,27	25,47	1,35
III	1	1	1	1	0,41	9,95	0,40	39,24	14,41	0,31	0,28	18,37	0,37	0,37	2,83	2,71	0,74	57,84	15,97	27,05	0,89
III	0	1	0	0	0,41	34,32	0,46	39,67	10,44	0,59	0,42	38,69	0,21	0,33	1,02	2,79	0,77	62,46	14,15	17,96	2,92
III	0	1	1	1	0,36	13,83	0,39	39,36	10,96	0,91	0,49	24,04	0,18	0,17	1,94	2,68	0,85	7,83	13,18	8,06	3,73
III	1	0	1	1	0,33	35,35	0,10	38,16	12,98	0,42	0,22	38,14	0,14	0,44	2,01	3,49	0,43	34,45	13,35	28,23	1,04
III	1	1	1	1	0,39	29,01	0,17	40,00	10,69	0,21	0,41	39,21	0,14	0,33	1,10	1,53	0,60	59,87	17,25	19,27	2,87
III	0	1	1	1	0,46	33,10	0,33	39,22	13,72	0,93	0,18	21,00	0,38	0,46	2,94	1,50	0,47	6,95	16,88	19,00	0,58
III	1	0	1	0	0,39	28,64	0,28	39,92	10,03	0,17	0,25	19,02	0,39	0,47	1,55	3,43	0,22	40,83	13,47	6,49	3,87
III	1	1	0	1	0,20	21,20	0,14	38,38	14,92	0,98	0,41	14,94	0,30	0,18	1,97	2,28	0,90	14,60	13,71	25,73	0,60
III	1	0	1	1	0,34	10,23	0,13	38,61	14,69	0,53	0,28	13,54	0,47	0,11	2,69	2,87	0,43	40,61	14,01	17,72	2,80
III	1	0	1	0	0,29	24,12	0,45	39,61	12,21	0,69	0,46	23,17	0,45	0,33	2,38	2,19	0,49	59,09	17,68	16,92	3,49
III	1	1	1	1	0,49	31,47	0,42	38,97	14,12	0,85	0,33	32,85	0,23	0,21	1,46	3,21	0,56	66,86	13,43	28,07	1,81
III	0	0	1	0	0,42	29,10	0,27	39,96	10,29	0,41	0,32	39,18	0,32	0,34	2,52	1,28	0,13	13,05	15,80	21,37	1,11
III	1	1	0	0	0,36	32,59	0,17	39,65	10,67	0,20	0,22	13,32	0,37	0,16	2,83	1,14	0,24	12,85	15,28	14,49	3,46
III	1	0	0	0	0,37	32,53	0,47	38,64	10,53	0,58	0,29	18,58	0,17	0,31	2,06	2,43	0,73	10,79	16,20	6,39	2,00
III	1	1	0	0	0,47	24,26	0,46	38,04	12,31	0,63	0,12	31,43	0,47	0,24	2,07	1,36	0,92	18,92	17,13	11,29	2,86
III	1	0	0	1	0,13	33,65	0,42	38,08	11,96	0,59	0,38	39,63	0,29	0,14	1,76	1,94	0,82	8,30	12,24	8,80	2,69
III	0	1	1	0	0,18	24,39	0,11	39,39	13,35	0,76	0,43	8,76	0,21	0,23	2,46	3,08	0,42	1,36	13,76	18,69	2,04
III	1	1	1	0	0,35	15,34	0,29	38,40	10,71	0,97	0,43	29,78	0,15	0,49	2,86	2,04	0,52	1,19	15,10	22,53	1,57
III	0	1	0	1	0,26	15,15	0,13	39,40	11,26	0,23	0,50	14,65	0,14	0,38	2,34	2,15	0,77	43,73	12,59	14,65	3,86
III	0	1	0	1	0,15	18,11	0,23	38,07	13,02	0,94	0,27	13,60	0,29	0,18	1,42	1,60	0,79	29,39	12,42	24,69	2,20
III	0	0	1	1	0,20	18,32	0,28	39,74	14,56	0,55	0,28	34,96	0,31	0,22	1,58	1,41	0,58	68,11	17,62	27,94	3,85
III	0	0	1	0	0,21	5,52	0,33	38,84	10,33	0,18	0,20	10,76	0,45	0,38	2,49	3,07	0,86	20,70	12,32	7,75	1,70
III	1	1	0	1	0,20	9,17	0,31	39,46	14,60	0,50	0,36	19,38	0,46	0,14	0,74	1,97	0,81	25,53	17,00	10,78	3,12
III	1	0	1	0	0,21	6,13	0,39	38,51	14,35	0,89	0,16	27,09	0,30	0,29	2,87	1,75	0,66	0,56	12,66	12,69	1,93
III	1	1	1	0	0,45	12,11	0,35	38,05	13,35	0,62	0,23	10,58	0,20	0,28	2,99	1,37	0,43	12,33	16,01	11,60	3,07
III	0	0	1	0	0,21	21,80	0,43	39,05	10,36	0,81	0,27	25,80	0,37	0,20	2,67	2,90	0,54	11,53	15,51	22,49	1,56
III	1	0	0	1	0,38	8,76	0,41	38,16	11,38	0,11	0,32	25,70	0,46	0,23	2,96	2,12	0,50	73,75	13,74	19,64	3,34
III	0	1	1	0	0,24	24,46	0,29	39,20	11,19	1,00	0,48	39,05	0,44	0,14	0,98	2,42	0,27	38,56	14,38	29,42	1,99
III	1	1	0	0	0,24	5,51	0,26	39,45	12,09	0,27	0,31	13,11	0,11	0,30	1,94	2,63	0,48	17,91	17,42	21,55	1,08
III	1	1	1	1	0,28	36,08	0,31	39,53	11,40	0,81	0,31	27,13	0,42	0,19	1,23	2,21	0,44	61,31	12,88	6,14	1,45
III	1	0	1	0	0,43	15,74	0,29	38,23	10,19	0,58	0,38	37,22	0,16	0,17	1,04	1,21	0,29	53,55	12,32	22,60	3,15
III	1	0	0	1	0,31	36,93	0,26	39,49	12,75	0,62	0,12	22,75	0,12	0,26	1,10	1,50	0,97	70,92	17,59	19,49	2,91
III	1	0	1	1	0,45	10,17	0,14	39,72	11,27	0,81	0,20	39,49	0,16	0,12	1,16	1,72	0,60	19,19	13,71	15,61	3,42
III	0	1	1	1	0,13	32,75	0,36	39,61	11,65	0,28	0,43	39,97	0,26	0,15	2,07	2,94	0,63	22,97	14,26	18,92	2,89
IV	0	1	0	1	0,32	17,05	0,19	38,52	14,08	0,73	0,49	30,98	0,32	0,21	1,40	3,04	0,78	74,36	13,52	14,97	1,38
IV	1	1	0	0	0,32	27,64	0,14	38,13	13,38	0,84	0,47	37,76	0,40	0,29	0,87	1,94	0,59	16,43	12,38	14,15	2,08
IV	1	1	0	0	0,20	36,24	0,33	39,47	14,44	0,31	0,37	11,53	0,12	0,37	0,87	3,09	0,56	46,07	15,77	7,85	1,96
IV	0	1	0	1	0,19	18,49	0,43	38,47	14,90	0,80	0,36	20,66	0,21	0,33	2,08	1,82	0,17	65,44	13,37	11,57	2,53
IV	1	1	1	0	0,10	8,07	0,37	38,21	14,56	0,34	0,26	23,69	0,41	0,18	1,51	1,21	0,99	7,20	16,16	14,96	1,91
IV	1	1	1	1	0,49	20,90	0,40	38,69	13,11	0,90	0,32	15,26	0,11	0,15	0,98	2,83	0,82	11,14	14,96	19,95	1,43
IV	1	1	1	1	0,28	21,57	0,17	38,28	10,32	0,40	0,26	19,10	0,15	0,25	2,32	2,52	0,82	6,07	12,65	24,23	2,60
IV	1	1	0	0	0,33	23,16	0,40	38,64	10,49	0,11	0,45	37,67	0,19	0,47	1,55	2,56	0,91	72,64	16,66	11,20	0,60
IV	0	1	1	0	0,13	15,04	0,20	39,99	14,31	0,83	0,37	14,47	0,40	0,16	1,74	2,83	0,11	57,85	12,12	7,61	2,63
IV	1	1	1	1	0,33	38,84	0,43	38,90	11,18	0,38	0,22	8,91	0,39	0,18	1,38	2,88	0,35	30,81	17,37	23,97	1,51
IV	0	1	1	0	0,21	35,27	0,21	38,49	11,93	0,20	0,27	12,50	0,45	0,43	1,21	2,95	0,11	49,18	14,17	15,33	3,73
IV	1	1	0	1	0,46	12,94	0,47	38,32	10,87	0,23	0,36	18,74	0,19	0,33	2,89	2,98	0,41	45,81	15,30	20,03	1,38
IV	0	1	0	0	0,11	14,82	0,27	39,82	10,07	0,30	0,26	9,40	0,11	0,27	1,64	3,05	0,24	45,14	15,28	28,69	3,06
IV	0	0	1	1	0,14	13,11	0,10	39,88	12,17	0,16	0,40	25,46	0,47	0,30	2,21	1,40	0,27	50,82	13,63	22,28	2,48
IV	1	0	1	1	0,21	17,33	0,31	39,87	10,63	0,27	0,39	31,37	0,33	0,17	2,91	2,74	0,83	53,77	14,63	7,53	3,63
IV	1	1	1	1	0,42	8,57	0,27	39,74	14,55	0,59	0,47	22,76	0,38	0,23	1,09	2,32	0,59	73,06	14,73	13,74	2,40
IV	1	0	0	1	0,47	24,08	0,46	38,27	14,29	0,99	0,14	37,73	0,45	0,44	1,22	3,36	0,27	61,13	13,19	16,55	2,83
IV	0	0	1	1	0,42	10,96	0,14	39,03	12,89	0,86	0,34	22,22	0,29	0,16	1,26	2,43	0,96	19,10	13,71	24,62	1,56
IV	0	0	1	1	0,22	20,42	0,24	39,61	11,39	0,20	0,32	27,55	0,24	0,39	1,84	2,76	0,72	45,99	15,04	27,05	2,20
IV	1	1	1	0	0,22	16,50	0,27	39,32	14,31	0,96	0,39	29,78	0,33	0,32	0,71	3,06	0,77	24,28	16,76	19,30	2,74
IV	0	0	1	1	0,27	29,23	0,12	38,96	15,00	0,56	0,19	15,75	0,46	0,23	2,94	2,63	0,74	55,45	15,61	24,70	3,81
IV	0	0	1	1	0,32	5,51	0,15	38,29	14,66	0,17	0,31	31,63	0,36	0,18	1,29	3,21	0,52	17,00	13,94	23,33	2,94
IV	1	0	0	0	0,43	34,46	0,25	39,36	11,06	0,53	0,37	30,68	0,49	0,33	1,37	3,19	0,14	74,28	14,33	26,72	3,93
IV	1	0	0	1	0,23	19,91	0,24	39,56	11,79	0,18	0,35	13,02	0,21	0,16	1,76	1,93	0,26	26,24	16,47	23,21	1,20
IV	1	0	0	1	0,43	12,79	0,14	38,69	12,63	0,84	0,47	15,26	0,29	0,21	2,12	3,24	0,30	59,95	13,28	8,44	3,30
IV	1	1	1	1	0,13	24,25	0,46	38,30	10,57	0,56	0,42	32,20	0,19	0,19	2,10	2,35	0,83	29,30	16,62	6,38	1,46
IV	0	0	1	0	0,23	20,56	0,17	39,92	11,48	0,23	0,17	20,87	0,12	0,47	2,68	3,08	0,82	62,97	13,85	12,34	3,41
IV	1	0	1	0	0,38	12,62	0,11	38,13	11,53	0,85	0,18	11,86	0,34	0,17	0,85	1,64	0,52	17,69	14,20	19,39	1,05
IV	1	1	0	1	0,24	7,15	0,17	38,40	11,08	0,53	0,47	30,89	0,17	0,41	2,94	2,75	0,99	57,59	16,48	15,71	2,69
IV	0	1	1	1	0,15	15,86	0,38	39,85	10,96	1,00	0,27	9,79	0,19	0,38	2,91	1,82	0,10	64,68	12,70	13,10	2,77
IV	0	1	0	1	0,34	21,38	0,14	38,89	10,19	0,73	0,18	20,04	0,27	0,42	2,00	1,53	0,36	41,04	17,23	7,62	3,72
IV	1	0	0	1	0,19	5,00	0,43	38,99	10,89	0,64	0,37	17,07	0,33	0,38	2,80	1,91	0,74	49,94	12,83	12,39	0,71
IV	1	1	1	0	0,48	36,08	0,17	38,84	11,59	0,79	0,13	11,60	0,35	0,47	2,26	3,41	0,56	59,33	12,72	29,01	2,33
IV	0	1	1	1	0,18	37,97	0,24	38,23	10,12	0,49	0,48	20,25	0,23	0,40	2,48	1,99	0,18	24,09	13,15	27,16	1,36
IV	0	1	0	1	0,23	28,35	0,25	38,21	13,34	0,94	0,18	31,49	0,15	0,34	1,30	2,33	0,62	22,09	12,83	20,59	3,94
IV	0	1	0	0	0,34	7,27	0,16	38,94	10,22	0,75	0,24	14,80	0,27	0,23	0,83	2,39	0,24	43,16	15,42	15,27	0,54
IV	1	1	1	0	0,17	9,73	0,43	38,18	12,92	0,98	0,11	11,58	0,27	0,23	0,99	2,34	0,60	39,84	16,49	21,31	2,18
IV	1	1	1	0	0,14	22,84	0,20	38,06	13,80	0,63	0,37	13,96	0,34	0,41	2,39	2,15	0,56	7,70	14,48	7,77	1,07
IV	1	0	0	0	0,17	4,95	0,46	39,64	13,61	0,13	0,36	26,00	0,28	0,22	1,88	1,64	0,12	6,90	17,12	21,06	0,66
IV	0	1	1	0	0,24	16,88	0,41	38,25	14,11	0,77	0,25	17,35	0,12	0,36	2,29	3,36	0,64	46,99	14,95	14,43	2,64
