X1	X2	X3	X4	X5	X6	X7	X8	X9	X10	X11	X12	X13	X14	X15	X16	X17	X18	X19	X20	X21	X22	X23
A	FA	4,54	3,30	0,24	1,60	16	37,8	4,34	0,40	3,50	0,50	0,39	0,41	16,76	14,34	170,69	173,42	43,77	244,26	14,41	v826	FSO
A	FA	4,10	2,90	0,25	1,63	16	38,0	4,05	0,39	3,50	0,51	0,40	0,41	14,99	14,39	169,69	176,04	45,07	243,18	14,38	v826	FSO
A	FA	2,32	3,79	0,23	1,71	17	40,7	4,26	0,40	3,51	0,48	0,39	0,40	15,14	16,77	170,73	177,28	46,15	244,99	14,40	v826	FSO
A	FA	3,24	1,86	0,25	1,26	15	36,2	4,48	0,40	3,49	0,49	0,40	0,40	16,26	14,77	170,20	175,83	43,32	243,84	14,41	v826	FSO
A	FA	5,26	2,94	0,25	1,60	17	40,2	4,19	0,39	3,49	0,49	0,40	0,40	15,52	14,28	168,96	173,99	44,11	244,77	14,40	v826	FSO
B	FA	4,76	1,50	0,25	1,93	16	38,6	3,75	0,36	2,99	0,36	0,28	0,35	15,41	16,72	160,47	164,91	38,83	244,93	14,41	v344	FSO
B	FA	4,97	2,77	0,24	2,36	14	33,4	3,32	0,35	3,01	0,34	0,33	0,35	15,39	14,99	161,22	164,39	39,98	243,58	14,42	v344	FSO
B	FA	3,33	1,53	0,26	1,19	15	36,4	3,41	0,35	3,02	0,34	0,30	0,35	16,72	16,95	158,79	164,36	39,96	244,30	14,42	v344	FSO
B	FA	3,60	3,63	0,25	1,58	15	36,1	2,85	0,35	2,99	0,33	0,30	0,36	13,64	15,51	160,55	164,24	40,92	243,07	14,40	v344	FSO
B	FA	2,90	3,03	0,23	1,87	16	38,1	3,01	0,33	2,99	0,36	0,31	0,35	13,84	16,98	159,23	165,29	39,28	244,45	14,39	v344	FSO
B	FA	2,86	4,73	0,25	2,06	14	33,7	3,92	0,33	3,00	0,34	0,30	0,36	16,08	15,68	159,58	163,75	39,48	245,00	14,40	v344	FSO
B	FA	5,15	4,18	0,25	1,69	14	34,5	3,10	0,34	2,99	0,34	0,29	0,36	17,68	17,57	162,59	166,71	40,16	244,58	14,41	v344	FSO
B	FA	2,89	2,49	0,24	2,24	18	43,5	2,69	0,33	3,00	0,35	0,30	0,36	15,05	16,11	160,97	165,18	40,41	244,02	14,41	v344	FSO
B	FA	4,03	1,98	0,26	1,04	16	38,4	3,94	0,34	3,00	0,36	0,30	0,35	12,79	14,05	160,60	164,66	39,58	244,55	14,39	v344	FSO
B	FA	3,94	2,98	0,24	2,60	16	39,4	3,64	0,34	2,99	0,35	0,27	0,36	17,36	13,45	159,27	165,03	40,22	245,44	14,40	v344	FSO
B	FA	5,65	2,58	0,26	1,62	15	34,9	3,43	0,36	3,00	0,36	0,29	0,35	17,67	12,80	159,92	166,22	40,32	245,08	14,39	v344	FSO
B	FA	4,92	1,81	0,27	2,16	15	36,4	4,16	0,36	3,00	0,35	0,31	0,35	15,19	13,61	159,36	166,27	40,88	245,83	14,39	v344	FSO
B	FA	4,92	1,58	0,25	2,13	16	38,8	3,90	0,36	3,00	0,35	0,30	0,36	16,28	13,33	160,82	163,72	39,40	243,46	14,38	v344	FSO
B	FA	4,57	1,27	0,25	2,14	16	37,6	2,83	0,34	3,00	0,34	0,30	0,36	15,46	15,31	159,63	163,90	39,69	244,67	14,39	v344	FSO
B	FA	4,76	2,71	0,26	2,05	13	32,1	3,20	0,34	3,00	0,34	0,29	0,36	14,57	12,48	159,85	166,50	40,27	244,63	14,40	v344	FSO
B	FA	3,66	1,95	0,25	2,31	14	33,9	3,95	0,35	3,00	0,35	0,28	0,35	15,02	18,17	159,21	165,15	39,25	242,04	14,41	v344	FSO
B	FA	2,63	3,83	0,24	2,59	16	38,6	2,53	0,34	2,98	0,36	0,29	0,33	13,02	14,80	160,48	163,04	39,17	243,59	14,39	v344	FSO
B	FA	4,92	1,72	0,26	0,99	14	33,6	3,74	0,35	3,00	0,35	0,30	0,34	16,71	14,41	161,95	166,28	40,52	243,15	14,39	v344	FSO
B	FA	3,23	2,86	0,24	2,60	15	35,4	3,55	0,36	3,00	0,35	0,30	0,33	14,89	14,69	160,08	164,85	40,60	244,09	14,40	v344	FSO
B	FA	3,83	3,12	0,26	1,42	13	32,1	3,36	0,37	3,02	0,34	0,30	0,36	14,28	13,68	159,58	163,55	40,06	245,71	14,38	v344	FSO
B	FA	3,87	3,16	0,25	1,12	16	37,2	3,60	0,34	2,99	0,36	0,29	0,34	12,71	15,01	159,77	165,15	38,33	244,01	14,40	v344	FSO
B	FA	4,36	2,98	0,25	1,91	13	31,9	3,75	0,34	3,00	0,34	0,29	0,35	13,58	16,61	159,50	166,05	40,31	245,49	14,40	v344	FSO
B	FA	1,89	3,77	0,26	1,88	16	38,6	3,38	0,34	2,99	0,35	0,30	0,35	15,99	14,95	161,28	166,00	41,00	245,93	14,40	v344	FSO
B	FA	3,64	3,77	0,24	2,14	16	39,3	4,08	0,35	3,00	0,35	0,32	0,36	13,55	16,99	160,05	164,86	39,43	243,19	14,40	v344	FSO
B	FA	5,13	1,87	0,26	2,04	16	37,8	2,65	0,37	3,01	0,35	0,30	0,36	12,61	17,22	161,16	163,83	41,39	243,12	14,41	v344	FSO
B	FA	3,53	0,28	0,24	2,05	16	38,9	2,48	0,37	3,00	0,34	0,29	0,34	15,98	15,93	158,80	162,93	40,01	243,71	14,39	v344	FSO
B	FA	6,63	3,74	0,26	1,54	16	38,5	4,03	0,36	3,00	0,34	0,31	0,37	15,11	12,98	160,74	165,78	39,73	243,13	14,39	v344	FSO
B	FA	3,43	1,22	0,26	1,69	15	36,1	3,52	0,36	2,98	0,36	0,29	0,34	13,67	13,57	160,08	164,99	42,36	244,98	14,41	v344	FSO
B	FA	4,29	3,87	0,23	2,62	16	39,3	3,12	0,35	3,01	0,37	0,30	0,32	15,97	17,95	159,79	164,78	37,74	243,60	14,42	v344	FSO
B	FA	4,32	3,57	0,24	1,43	16	39,5	2,78	0,34	3,00	0,35	0,30	0,35	12,71	15,29	158,88	165,63	37,85	245,28	14,41	v344	FSO
B	FA	3,42	1,66	0,24	1,74	14	32,6	4,34	0,35	3,01	0,35	0,30	0,34	15,48	13,51	160,32	163,73	37,65	244,59	14,38	v344	FSO
B	FA	3,67	3,43	0,25	1,27	17	39,7	3,46	0,35	3,01	0,32	0,30	0,35	14,02	14,50	158,19	165,64	40,82	242,72	14,42	v344	FSO
B	FA	3,57	2,71	0,26	1,78	16	39,2	2,48	0,36	3,01	0,33	0,28	0,33	15,73	15,51	160,16	164,26	39,68	244,57	14,38	v344	FSO
B	FA	4,63	3,19	0,24	1,12	15	35,2	4,40	0,35	3,00	0,34	0,29	0,34	14,11	15,29	160,05	164,54	38,53	244,54	14,40	v344	FSO
B	FA	2,90	0,80	0,26	2,51	17	39,8	3,42	0,35	2,99	0,36	0,31	0,37	12,94	14,44	160,62	164,37	39,34	244,74	14,40	v344	FSO
B	FA	4,36	2,74	0,23	1,52	14	34,8	3,86	0,34	3,00	0,35	0,32	0,34	15,90	15,30	160,36	165,61	40,03	247,47	14,39	v344	FSO
B	FA	4,11	1,92	0,26	2,41	16	37,3	4,53	0,34	3,01	0,35	0,31	0,35	17,34	14,17	159,48	164,30	40,34	243,92	14,39	v344	FSO
B	FA	3,27	2,51	0,26	2,11	13	30,2	3,98	0,36	3,01	0,34	0,30	0,35	14,36	12,41	160,46	164,05	38,87	244,73	14,38	v344	FSO
B	FA	4,99	3,03	0,26	1,83	16	37,6	3,70	0,36	3,00	0,33	0,31	0,35	15,93	12,17	160,5	165,78	40,98	243,91	14,41	v344	FSO
B	FA	4,05	3,07	0,25	2,79	17	40,6	3,85	0,33	3,02	0,35	0,30	0,34	15,17	13,58	161,95	165,61	40,65	244,88	14,39	v344	FSO
B	FA	3,99	3,70	0,25	1,25	15	36,6	3,49	0,36	3,00	0,36	0,31	0,36	13,28	15,71	159,36	166,48	39,18	243,67	14,40	v344	FSO
B	FA	4,75	3,80	0,26	2,29	16	38,1	3,36	0,35	3,01	0,36	0,31	0,36	14,07	15,00	161,14	166,53	41,01	245,47	14,40	v344	FSO
B	FA	5,01	3,95	0,24	1,96	17	40,5	3,30	0,34	2,98	0,35	0,30	0,35	16,82	10,90	159,70	166,48	38,78	245,53	14,41	v344	FSO
B	FA	4,00	2,64	0,26	1,57	16	38,5	4,15	0,35	3,02	0,34	0,30	0,36	13,98	17,40	160,77	164,89	41,23	243,86	14,40	v344	FSO
B	FA	5,61	1,29	0,25	2,01	15	35,7	3,67	0,36	3,00	0,35	0,29	0,35	14,80	13,74	160,50	167,38	41,22	242,78	14,38	v344	FSO
B	FA	3,66	3,81	0,23	1,29	14	33,1	2,94	0,35	3,00	0,36	0,28	0,35	14,96	15,43	159,74	166,03	37,03	243,09	14,41	v344	FSO
B	FA	4,72	2,64	0,25	1,78	16	38,9	3,53	0,36	3,00	0,34	0,30	0,34	16,03	14,45	161,31	164,59	41,38	243,91	14,39	v344	FSO
B	FA	3,20	0,66	0,24	1,79	16	38,4	2,78	0,34	2,99	0,35	0,29	0,37	13,07	16,07	160,36	166,19	40,57	243,91	14,40	v344	FSO
B	FA	5,74	2,28	0,26	2,24	15	36,0	3,36	0,36	2,99	0,34	0,28	0,33	14,87	11,45	158,55	163,69	39,85	246,00	14,40	v344	FSO
B	FA	4,39	1,41	0,24	1,64	16	38,5	3,51	0,35	3,00	0,34	0,30	0,36	15,15	15,48	160,50	165,19	41,21	243,32	14,38	v344	FSO
C	FA	6,57	0,93	0,24	1,34	17	41,5	4,45	0,39	3,51	0,50	0,40	0,41	14,74	15,22	168,56	173,94	45,62	242,50	14,40	v826	FC
C	FA	3,23	2,81	0,25	2,06	16	37,2	3,00	0,41	3,50	0,51	0,39	0,40	14,95	15,40	170,51	174,69	44,11	242,49	14,40	v826	FC
C	FA	2,85	3,77	0,25	2,09	16	38,9	3,99	0,40	3,52	0,50	0,39	0,40	15,44	15,13	171,01	174,38	45,03	240,34	14,41	v826	FC
C	FA	3,93	2,50	0,25	2,07	15	36,5	3,64	0,37	3,50	0,50	0,41	0,40	15,41	14,58	169,33	174,14	45,25	240,79	14,42	v826	FC
C	FA	2,59	2,32	0,24	1,47	16	37,5	3,28	0,40	3,51	0,50	0,40	0,40	14,36	13,65	169,15	175,25	44,36	240,24	14,40	v826	FC
C	FA	3,61	2,86	0,23	2,25	15	36,6	2,95	0,41	3,51	0,49	0,39	0,40	14,22	15,02	169,30	175,39	44,76	240,21	14,40	v826	FC
C	FA	3,80	1,44	0,27	2,60	15	37,1	3,86	0,40	3,49	0,50	0,41	0,40	15,25	14,04	171,10	174,20	42,52	240,75	14,39	v826	FC
C	FA	4,37	1,75	0,26	1,28	17	40,1	3,59	0,39	3,51	0,50	0,39	0,39	15,23	14,46	169,26	174,66	45,30	238,51	14,40	v826	FC
C	FA	3,91	3,70	0,25	2,16	17	40,6	4,54	0,39	3,50	0,50	0,39	0,41	15,74	15,69	171,12	173,91	46,19	239,47	14,40	v826	FC
C	FA	5,47	2,85	0,25	0,92	14	34,7	3,44	0,40	3,49	0,51	0,40	0,40	15,94	13,66	168,57	175,41	45,65	239,97	14,40	v826	FC
C	FA	3,70	0,83	0,28	1,42	14	34,5	3,71	0,41	3,49	0,48	0,40	0,40	14,73	14,03	169,95	176,64	43,87	239,18	14,40	v826	FC
C	FA	2,91	2,42	0,25	2,54	16	38,4	4,82	0,40	3,50	0,50	0,41	0,40	14,23	15,62	168,91	174,56	44,91	241,35	14,40	v826	FC
C	FA	4,58	3,62	0,25	1,56	14	34,6	3,56	0,40	3,50	0,49	0,39	0,40	14,37	16,19	169,48	173,03	44,44	239,78	14,40	v826	FC
C	FA	3,25	0,22	0,23	1,30	15	35,3	4,47	0,41	3,51	0,49	0,40	0,40	16,00	15,39	171,77	176,08	45,75	239,82	14,41	v826	FC
C	FA	5,06	1,69	0,25	1,86	15	35,5	3,49	0,39	3,51	0,50	0,40	0,40	14,38	14,17	170,67	175,50	44,21	239,84	14,42	v826	FC
C	FA	1,81	2,52	0,26	1,77	16	38,0	4,03	0,41	3,49	0,50	0,39	0,40	14,22	15,16	170,63	175	45,10	239,72	14,40	v826	FC
C	FA	3,81	1,42	0,24	1,80	16	37,8	4,60	0,40	3,51	0,50	0,40	0,38	15,57	14,62	169,82	175,37	44,44	241,45	14,40	v826	FC
C	FA	4,13	2,59	0,25	1,72	18	42,3	4,04	0,41	3,50	0,51	0,39	0,39	13,69	14,60	168,76	173,94	44,12	241,28	14,39	v826	FC
C	FA	4,60	1,73	0,25	1,54	16	37,4	4,11	0,41	3,50	0,50	0,40	0,41	13,49	15,94	170,40	175,86	44,74	240,95	14,38	v826	FC
C	FA	4,03	3,17	0,27	1,69	15	35,0	4,11	0,40	3,51	0,49	0,42	0,41	15,15	15,47	169,19	174,29	44,36	238,40	14,41	v826	FC
C	FA	3,68	1,52	0,25	2,04	16	37,8	4,06	0,41	3,49	0,51	0,42	0,41	15,84	16,37	170,12	174,83	47,02	241,64	14,39	v826	FC
C	FA	3,19	2,34	0,26	1,76	15	35,5	4,10	0,41	3,50	0,51	0,40	0,40	16,37	15,39	168,64	176,34	45,18	241,30	14,38	v826	FC
C	FA	4,56	1,68	0,25	1,91	15	37,1	3,50	0,39	3,49	0,51	0,41	0,41	16,10	14,95	169,14	176,00	45,33	240,31	14,40	v826	FC
C	FA	2,99	3,33	0,26	2,37	17	39,6	4,00	0,40	3,51	0,51	0,39	0,39	14,47	13,59	168,51	174,57	46,07	242,11	14,40	v826	FC
C	FA	4,01	0,96	0,26	2,06	16	38,3	3,86	0,37	3,49	0,50	0,39	0,40	15,64	15,42	170,43	174,26	44,78	239,87	14,39	v826	FC
C	FA	4,80	3,33	0,26	1,85	15	36,9	3,86	0,42	3,51	0,50	0,41	0,42	16,39	15,15	171,35	173,34	43,45	239,24	14,39	v826	FC
C	FA	4,35	3,53	0,26	1,56	18	42,5	4,42	0,40	3,50	0,48	0,40	0,41	15,02	15,08	170,19	176,11	46,16	241,46	14,40	v826	FC
C	FA	2,77	1,82	0,26	2,56	16	38,2	4,86	0,43	3,50	0,50	0,41	0,40	15,49	16,69	170,63	173,87	45,09	241,02	14,41	v826	FC
C	FA	4,38	1,97	0,25	2,03	17	40,0	4,83	0,40	3,49	0,50	0,41	0,42	14,75	15,14	169,86	175,87	44,68	240,08	14,39	v826	FC
C	FA	5,69	5,00	0,26	2,15	17	39,9	3,71	0,41	3,52	0,50	0,40	0,40	14,83	15,76	169,58	176,44	47,41	239,45	14,39	v826	FC
C	FA	3,70	2,38	0,25	2,19	17	40,6	4,37	0,40	3,50	0,51	0,39	0,40	14,41	13,97	170,55	175,46	46,20	239,33	14,39	v826	FC
C	FA	2,85	3,77	0,25	2,09	16	38,6	3,99	0,40	3,52	0,50	0,39	0,40	15,44	15,13	171,01	174,38	45,03	240,34	14,41	v826	FC
C	FA	5,69	3,30	0,24	2,48	16	37,4	3,31	0,39	3,49	0,50	0,40	0,40	15,61	14,33	167,41	175,69	44,26	238,48	14,39	v826	FC
C	FA	4,31	3,14	0,24	0,96	16	38,9	4,21	0,41	3,49	0,50	0,40	0,38	15,27	16,59	168,95	174,08	44,16	240,12	14,41	v826	FC
C	FA	4,02	0,67	0,26	0,91	15	35,7	3,94	0,41	3,50	0,49	0,40	0,40	17,06	14,78	170,19	172,37	45,50	239,59	14,42	v826	FC
C	FA	1,60	4,78	0,24	1,75	16	39,0	3,02	0,40	3,51	0,51	0,39	0,38	13,76	14,95	169,28	174,67	43,19	240,18	14,41	v826	FC
C	FA	3,77	2,84	0,25	1,68	16	38,4	3,56	0,41	3,49	0,51	0,39	0,39	13,75	14,43	170,85	175,39	45,16	240,76	14,37	v826	FC
C	FA	4,29	2,28	0,26	2,29	15	36,4	4,43	0,40	3,49	0,51	0,41	0,41	16,40	14,79	168,78	175,55	45,28	240,43	14,41	v826	FC
C	FA	4,89	2,78	0,25	1,58	16	38,4	3,09	0,41	3,50	0,50	0,40	0,42	15,75	15,39	169,06	174,58	42,35	241,41	14,43	v826	FC
C	FA	4,65	2,84	0,26	2,68	17	40,5	4,04	0,40	3,52	0,51	0,42	0,40	14,16	15,26	168,52	174,33	45,39	240,54	14,41	v826	FC
C	FA	2,34	1,93	0,26	1,28	17	41,0	4,08	0,40	3,51	0,50	0,40	0,39	14,67	17,46	170,43	174,16	44,98	240,85	14,40	v826	FC
C	FA	5,78	1,60	0,25	1,66	15	36,5	3,93	0,39	3,53	0,50	0,39	0,41	15,44	15,97	169,44	175,36	43,95	239,69	14,40	v826	FC
C	FA	5,13	2,59	0,25	1,74	14	33,4	4,65	0,38	3,50	0,51	0,40	0,40	14,56	15,93	170,56	173,60	44,25	241,09	14,41	v826	FC
C	FA	3,65	3,90	0,25	1,86	15	36,2	4,03	0,41	3,50	0,49	0,38	0,42	15,42	16,18	169,41	175,43	45,60	239,74	14,39	v826	FC
C	FA	4,67	2,16	0,25	2,12	17	41,0	3,12	0,41	3,50	0,49	0,40	0,40	15,70	15,13	169,20	175,28	44,45	240,96	14,40	v826	FC
C	FA	3,03	3,53	0,26	2,00	16	37,3	4,29	0,41	3,49	0,51	0,41	0,40	15,50	13,41	169,78	175,35	45,15	240,00	14,40	v826	FC
C	FA	5,12	1,73	0,25	0,83	15	37,1	4,19	0,41	3,49	0,51	0,41	0,39	16,86	15,83	170,23	174,77	45,22	241,54	14,40	v826	FC
C	FA	5,27	3,23	0,25	2,45	14	34,4	2,98	0,40	3,50	0,48	0,41	0,40	14,15	15,98	172,44	174,71	45,39	240,66	14,40	v826	FC
C	FA	4,92	2,58	0,26	1,86	14	34,7	3,72	0,39	3,51	0,50	0,40	0,40	15,34	14,74	170,94	174,74	44,40	239,61	14,39	v826	FC
C	FA	3,41	1,34	0,27	1,81	17	40,3	4,38	0,40	3,50	0,49	0,40	0,39	14,23	13,78	169,68	173,29	44,91	241,33	14,39	v826	FC
D	FA	2,43	1,50	0,25	1,32	15	35,2	3,67	0,36	3,01	0,35	0,30	0,35	12,51	13,53	159,04	164,99	40,60	241,25	14,39	v344	FC
D	FA	4,61	3,41	0,24	1,42	15	35,7	3,53	0,35	2,99	0,33	0,29	0,36	16,27	14,64	160,48	164,40	40,20	239,61	14,39	v344	FC
D	FA	4,16	1,59	0,26	1,68	15	35,2	4,07	0,35	2,98	0,35	0,31	0,36	13,72	15,43	158,66	165,69	38,85	241,33	14,39	v344	FC
D	FA	3,35	1,63	0,26	2,28	13	31,2	4,05	0,34	2,99	0,34	0,31	0,37	15,94	15,99	160,77	165,73	40,05	241,85	14,41	v344	FC
D	FA	2,90	3,59	0,25	1,88	15	36,1	3,72	0,34	3,02	0,36	0,31	0,37	16,64	15,79	161,30	165,12	37,90	241,19	14,41	v344	FC
D	FA	3,89	2,21	0,24	1,13	15	36,9	4,10	0,36	3,00	0,36	0,30	0,36	16,49	15,03	159,53	165,16	41,06	242,17	14,40	v344	FC
D	FA	3,56	3,83	0,26	2,79	15	35,5	3,36	0,36	3,00	0,34	0,30	0,35	12,23	16,18	159,48	166,83	41,03	238,66	14,39	v344	FC
D	FA	4,83	1,60	0,24	1,70	14	34,7	3,06	0,34	2,99	0,35	0,31	0,34	13,66	17,59	160,04	165,76	38,96	239,23	14,40	v344	FC
D	FA	4,28	1,01	0,25	1,77	15	36,5	2,76	0,35	3,01	0,35	0,28	0,35	15,56	16,41	159,69	165,20	40,89	239,64	14,39	v344	FC
D	FA	3,67	1,37	0,24	2,25	17	39,9	2,88	0,36	3,00	0,33	0,29	0,36	15,12	14,79	159,90	165,90	41,11	240,37	14,40	v344	FC
D	FA	4,67	2,63	0,23	1,25	14	34,4	3,57	0,35	3,01	0,36	0,29	0,35	13,87	12,43	160,70	164,24	40,20	240,33	14,40	v344	FC
