X2	X3	X4	X5	X6	X7	X8	X9	X10
6,04	5,29	1	18,92	1,08	1	1247,66	187	88
7,55	7,79	0	24,04	1,32	1,6	1331,51	189	87
6,49	5,57	0	20,91	1,09	1,6	2038,92	219	83
7,01	5,36	0	21,88	1,28	1	1143,29	206	95
12,18	10,41	1	39,51	1,41	1	1339,18	200	79
7,07	6,86	0	22,83	1,15	1,6	1481,71	182	73
10,77	9,82	0	33,85	1,49	1,6	1487,27	201	84
7,99	6,4	0	25,56	1,31	1,4	1808,29	198	104
6,24	5,58	0	21,37	1,19	1,2	986,14	195	104
5,88	5,4	0	20,25	1,15	1,6	2225,14	248	102
5,8	4,82	0	20,26	1,23	1	1193,3	184	90
10,39	7,83	0	32,77	1,41	1	1376,92	199	80
11,52	9,12	0	37,77	1,52	1	1306,65	191	87
8,41	6,44	1	27,75	1,33	1,6	1850,64	207	80
7,79	7,84	0	23,46	1,2	1	1243,23	185	95
12	11,09	1	40,39	1,39	1	1130,67	199	91
5,63	5,28	0	18,11	1,09	1,4	1934,18	207	79
7,12	5,81	0	21,39	1,14	1,2	1133,99	225	93
10,44	9,49	0	32,94	1,4	1,8	1920,06	200	77
6,98	5,54	0	21,02	1,18	1,6	1778,61	216	72
5,93	4,9	0	19,95	1,11	1	909,03	210	87
10,81	10,98	1	33,13	1,36	1,8	2336,75	199	91
5,61	4,88	0	18,39	1,07	1,8	1575,28	187	81
9,26	8,84	0	27,27	1,25	1,2	1401,99	198	85
6,49	5,09	1	20,47	1,09	1,6	1657,69	193	90
10,73	9,06	0	34,72	1,48	1,2	1370,44	202	88
7,72	7,33	1	23	1,18	1,4	1667,35	205	90
8,06	7,97	0	24,01	1,33	1,8	1460,08	212	64
10,87	9,49	1	35,63	1,52	1	1297,49	179	76
8,4	8,02	1	24,54	1,3	1	991,53	185	75
7,63	6,47	0	23,85	1,31	1,4	1439,93	216	96
12,08	10,01	0	39,64	1,55	1,8	1733,58	200	78
9,23	7,56	1	27,65	1,35	1,2	1088,68	183	92
12,73	13,32	1	43,19	1,61	1,4	1186,38	185	93
10,85	9,45	0	34,74	1,36	1	1152,95	198	94
5,81	5,67	0	20,08	1,09	1,8	1865,68	197	85
6,84	5,49	0	23,09	1,29	1,2	1229,81	172	90
7,06	7,38	0	24,07	1,21	1,6	1276,59	180	79
5,42	5,1	0	21,63	1,15	1,6	1823,29	223	77
10,1	8,73	1	31,51	1,48	1	1274,99	200	83
8,08	6,13	1	25,36	1,24	1	1280,22	218	69
8,12	8,04	0	25,69	1,23	1,4	1788,35	195	83
11,17	9,95	0	38,17	1,54	1,2	1284,92	201	88
7,05	7,35	0	22,31	1,31	1,8	2055,24	195	94
7,74	5,96	0	23,64	1,32	1,4	1885,15	205	77
8,01	7,27	0	26,92	1,32	1,4	1686,51	195	100
7,04	6,51	1	21,48	1,2	1,2	1541,01	215	92
5,3	4,49	0	19,57	1,13	1,8	2367,21	210	95
12,66	10,49	0	42,33	1,59	1,8	1693,03	216	84
11,12	11,02	1	37,68	1,44	1,2	1292,33	199	99
8,39	7,69	1	24,64	1,38	1,8	1995,22	221	75
5,36	4,07	1	17,87	1,04	1,2	1476,93	220	100
9,78	9,37	0	32,51	1,36	1,6	1657,76	215	92
9,94	9,02	1	29,81	1,43	1,2	1307,56	160	86
12,71	11,05	0	44,24	1,56	1	1216,2	200	85
8,42	7,5	1	25,68	1,29	1	1114,94	203	89
11,56	11,29	1	35,53	1,43	1,2	1147,05	192	73
7,67	7,54	1	24,81	1,2	1	842,95	206	83
