PAIS	CODIGO.PAIS	Y1	Y2	X1	X2	X3	X4	X5	X6	X7	X8	X9	X10	X11	X12
"China"	"CHN"	14.8391	5.1536	10.0894	86.7483	0.5223	6.327	2490	66.6099	46.6927	4.3876	645	1551.4299	7.0411	1985706
"Côte d'Ivoire"	"CIV"	54.6084	0.3649	74.8808	24.2533	2.0124	-12.9655	980	3.4355	23.2717	4.7026	1348	539.7272	10.2118	104042
"Camerún"	"CMR"	78.4412	0.3058	65.8963	28.8852	2.5535	-45.8392	990	12.5071	29.8109	7.2757	1604	332.3033	13.5034	205760
"Congo, República del"	"COG"	92.4471	0.3267	58.2266	36.2301	3.0348	-930.1576	1410	3.6201	73.2408	14.283	1646	327.3436	65.2247	224470
"Colombia"	"COL"	54.9016	1.4069	12.3183	74.4102	1.2219	-206.0341	4070	51.519	33.6928	15.2325	3240	637.5108	8.5492	608020
"Costa Rica"	"CRI"	82.2122	1.8589	18.5931	49.0639	1.3983	49.3748	5640	9.7246	29.2679	11.2666	2926	1031.8087	1.3044	25366
"Cuba"	"CUB"	87.642	2.3746	15.3563	84.5391	0.0784	45.3897	4980	12.5355	20.4941	17.8067	1335	903.7955	8.0015	27662
"Chipre"	"CYP"	86.9682	7.7028	1.0737	96.7166	1.397	96.9921	27000	0.4543	20.7777	9.9955	498	2293.6757	0.0095	1730
"República Checa"	"CZE"	17.639	11.9743	4.5866	83.1053	0.5835	26.5522	15740	0.1136	38.2368	5.9739	677	4466.6486	0.5213	26510
"Alemania"	"DEU"	32.5138	9.489	6.2014	81.2797	-0.1337	58.4609	40730	0.6388	30.3978	9.2211	700	3983.8792	0.2803	110760
"Dinamarca"	"DNK"	43.0573	9.202	15.1303	82.0081	0.4435	-36.9814	55700	0.1562	26.375	10.6722	703	3623.856	2.8775	5380
"República Dominicana"	"DOM"	72.6803	2.2413	8.7239	89.1967	1.4093	89.1967	4210	5.9625	31.1219	13.177	1410	740.1788	3.5635	19720
"Argelia"	"DZA"	35.078	3.19	0.1941	99.7517	1.5076	-346.5352	3590	2.8535	58.5716	11.0448	89	1073.8649	45.0569	15184
"Ecuador"	"ECU"	85.383	2.204	5.8787	86.759	1.6895	-147.5985	3330	29.3441	36.2317	10.288	2274	813.1964	23.3794	104578
"Egipto, República Árabe de"	"EGY"	46.0578	2.4914	2.1052	95.9466	1.73	-22.5164	1550	2.9103	36.7641	9.506	51	897.4571	21.1598	682
"Eritrea"	"ERI"	96.2025	0.1315	73.5092	26.4671	2.3388	26.4669	280	0.8376	20.0791	8.49	384	163.5456	3.9796	15452
"España"	"ESP"	50.9765	7.9209	3.7896	83.1862	1.8511	78.94	29920	6.8427	29.408	10.3165	636	3180.0334	0.0922	176452
"Estonia"	"EST"	10.0214	14.0561	10.4034	28.5987	-0.4562	22.5227	13520	0.0568	30.8343	5.1445	626	4243.648	1.4724	22380
"Etiopía"	"ETH"	86.2988	0.0731	94.134	5.0535	2.7018	5.0445	220	8.3759	12.466	1.8256	848	442.877	22.013	127180
"Finlandia"	"FIN"	41.4694	12.0985	20.3801	49.8363	0.4254	56.2533	46040	0.1704	35.0532	5.385	536	6965.4234	1.2479	221570
"Francia"	"FRA"	59.9785	5.8565	4.6054	51.6812	0.6187	49.0321	40250	5.2953	21.0628	8.2681	867	4116.7612	0.1376	158100
"Gabón"	"GAB"	78.8214	1.3819	59.1693	37.1007	2.2446	-647.7534	6770	3.038	55.7261	12.3266	1831	1281.6819	49.1301	220000
"Reino Unido"	"GBR"	34.9256	8.6155	1.9847	89.5751	0.7787	16.5431	46110	3.5491	22.2845	10.8749	1220	3441.2546	1.5974	28594
"Georgia"	"GEO"	39.2918	1.4632	11.7916	70.6908	-0.2185	67.8867	2090	0.6388	24.3088	7.1277	1026	761.3994	1.3063	27499
"Ghana"	"GHA"	90.8582	0.4362	61.6836	34.2724	2.5908	34.1022	820	1.8597	20.7469	7.0103	1187	369.6576	9.9429	52862
"Grecia"	"GRC"	48.186	8.8011	3.9089	93.0204	0.3145	66.3386	26110	2.7967	19.9252	10.7228	652	2706.8607	0.284	38124
"Guatemala"	"GTM"	80.7313	0.9158	50.9893	43.4157	2.2545	33.4478	2350	8.021	29.7256	10.1832	1996	616.7346	3.5287	38256
"Honduras"	"HND"	86.1738	1.2306	41.1342	54.826	1.7921	54.8058	1620	7.226	28.5642	6.1976	1976	657.3986	4.2495	55520
"Croacia"	"HRV"	54.8091	5.5005	3.5235	86.5956	-0.0901	56.4513	12350	0.6246	28.0969	9.002	1113	2102.1459	2.0603	19098
"Hungría"	"HUN"	30.8226	5.5725	4.951	78.9741	-0.1549	61.7463	11780	0.1562	31.1711	7.2496	589	2658.0364	0.785	20014
"Indonesia"	"IDN"	44.2985	1.6167	28.3209	64.5589	1.3142	-74.0661	1600	80.9625	46.7991	8.9289	2702	788.5258	13.667	964870
"India"	"IND"	20.0752	1.3658	27.6016	69.5788	1.5029	23.8873	950	39.9347	29.032	6.8827	1083	511.8694	6.1453	679990
"Irlanda"	"IRL"	51.9518	10.165	1.6625	91.0047	2.891	90.6896	50440	0.5537	31.6208	13.6448	1118	3420.201	0.3707	7126
"Irán, República Islámica del"	"IRN"	43.5548	7.2669	0.3189	98.8951	1.1185	-76.6844	3650	7.3112	44.4749	5.6349	228	2662.2858	43.7571	110750
"Italia"	"ITA"	46.6914	7.9173	2.479	90.7179	0.5049	85.4003	35830	3.8472	26.4729	10.987	832	3070.0903	0.2321	89150
"Jordania"	"JOR"	65.3686	3.8924	0.0884	98.4102	2.2328	96.1564	3030	0.3975	31.617	7.6837	111	1273.5314	0.8239	975
"Japón"	"JPN"	46.8783	9.7715	1.3918	83.3008	0.1149	82.4498	37590	35.9597	28.2136	8.2782	1668	4024.2721	0.0448	249526
"Kazajstán"	"KAZ"	19.3122	14.2212	0.0388	98.8877	1.1439	-100.044	4980	5.1391	40.6392	4.0661	250	4267.9931	43.4454	33258
"Kenya"	"KEN"	82.9914	0.2639	76.6513	16.5539	2.6234	16.5439	730	8.816	21.8158	4.9688	630	464.2695	3.6788	35000
"Kirguistán"	"KGZ"	39.7516	1.1206	0.1221	70.2917	0.9536	55.1777	610	1.0931	19.2861	4.3682	533	560.6182	4.2908	9031
"Camboya"	"KHM"	98.7368	0.2537	66.3836	33.241	1.4922	33.4954	580	3.4781	26.7795	8.6339	1904	253.594	2.67	104762
"Corea, República de"	"KOR"	37.2644	10.1996	1.2358	81.8192	0.4655	80.8295	22460	1.7178	37.01	6.0948	1274	4573.0649	0.0358	62418
"Líbano"	"LBN"	81.5026	3.3094	4.0403	92.5582	0.6972	94.6387	6250	0.1704	16.5387	12.0999	661	1035.3921	0.0026	1367
"Libia"	"LBY"	61.8352	8.8455	0.9569	99.0573	1.8557	-559.0616	10330	1.59	76.4181	9.8148	56	2725.8879	66.427	2170
"Sri Lanka"	"LKA"	91.8373	0.6165	50.9296	45.3881	0.9073	45.1816	1540	7.8648	29.9198	13.4277	1712	462.1201	0.9661	19038
"Lituania"	"LTU"	47.5137	4.5643	9.6945	60.9706	-1.1879	58.1759	10470	0.0284	21.769	6.5861	656	2927.2412	0.8981	21366
"Letonia"	"LVA"	55.8642	3.7798	24.4507	65.1297	-0.8162	62.4355	11120	0.0426	14.6375	8.7547	641	2179.8139	1.8691	33198
"Marruecos"	"MAR"	54.8074	1.6209	8.6507	88.7036	1.0369	90.2475	2250	3.4781	27.3143	11.3074	346	487.3045	1.6583	51010
"República de Moldova"	"MDA"	41.3009	1.3081	1.971	89.5553	-0.2317	96.7228	1160	0.0142	17.148	3.6163	450	938.5967	0.2514	3722
"México"	"MEX"	61.9024	4.0558	4.9504	88.5214	1.5647	-37.6136	8850	68.6826	36.1	8.8426	758	1551.2966	8.7479	652676
"Ex República Yugoslava de Macedonia"	"MKD"	32.6381	4.6279	4.6125	85.1557	0.1999	50.6176	3610	0.1988	23.8797	6.517	619	1484.2068	8.0624	9842
"Mongolia"	"MNG"	23.7645	3.8922	5.7799	93.6717	1.3314	-49.7867	1410	4.1596	41.8919	5.5492	241	1197.353	31.1354	111440
"Mozambique"	"MOZ"	76.9939	0.1069	81.0479	7.3515	2.8202	-21.316	350	7.1834	23.8015	1.9143	1032	407.2787	16.005	396562
"Mauricio"	"MUS"	64.1153	2.9759	19.096	80.3257	0.4555	80.3256	6190	3.2794	26.2262	12.9991	2041	1007.5748	0.0087	349
"Malasia"	"MYS"	37.0668	7.0378	4.3872	95.1167	1.7646	-28.5668	6620	13.8558	44.5961	6.6836	2875	2742.5003	17.6622	207164
"Namibia"	"NAM"	91.4764	1.1565	14.6392	61.8451	1.4145	75.1263	4140	5.1533	34.7652	12.2238	285	623.2331	5.9139	75126
"Nigeria"	"NGA"	31.2416	0.6473	81.9159	17.597	2.6403	-115.571	970	6.0051	40.6521	5.7114	1150	747.1012	37.9971	102698
"Nicaragua"	"NIC"	94.2675	0.8341	42.4844	49.164	1.3106	49.3549	1300	3.2652	23.2365	7.3132	2280	521.9619	3.9158	33240
"Países Bajos"	"NLD"	39.2187	10.4684	3.5182	92.766	0.2175	22.7934	48730	0.1704	23.5544	8.9474	778	4843.7961	1.8083	3650
"Noruega"	"NOR"	61.9632	9.5748	4.9209	56.0482	1.0347	-680.1629	78400	1.3061	41.9052	9.7206	1414	5849.7341	17.4081	98358
"Nepal"	"NPL"	62.7845	0.1051	88.4759	8.6156	1.0385	8.8625	380	2.1437	17.0937	4.6726	1500	357.1309	6.7531	36360
"Nueva Zelandia"	"NZL"	53.4983	7.9664	7.1857	67.5986	0.9324	17.5897	28110	20.23	25.1785	7.1998	1732	4053.3344	2.1922	82942
"Pakistán"	"PAK"	36.4543	0.9945	32.725	63.3423	2.051	24.3127	910	4.8836	21.134	7.7487	494	523.2672	7.4092	18164
"Panamá"	"PAN"	85.2776	2.0935	14.0975	75.8071	1.7544	75.4772	6300	10.9455	20.17	14.2339	2928	879.5238	0.3152	32864
"Perú"	"PER"	52.1175	1.5272	17.8684	70.353	1.2191	12.9649	3180	33.3617	41.1067	15.9446	1738	506.6331	14.8863	684420
"Filipinas"	"PHL"	52.6343	0.7831	18.0838	57.2748	1.5549	42.7133	1900	32.3254	33.053	11.2785	2348	434.4024	5.0427	75006
"Polonia"	"POL"	19.5443	8.2501	5.2866	94.9224	-0.0543	24.9679	9970	0.5253	32.8384	6.6632	600	2535.1223	1.7376	92548
"Portugal"	"PRT"	57.3443	5.773	12.5838	79.241	0.1963	81.6822	20770	5.5224	24.3886	10.4992	854	2402.4767	0.5339	34446
"Paraguay"	"PRY"	92.7305	0.6933	52.2762	30.2542	1.4071	-68.864	1820	2.7541	31.6867	8.7311	1130	708.7829	5.2807	181178
"Rumania"	"ROU"	27.2389	4.8665	8.7052	83.1768	-1.4772	30.2751	6470	0.653	38.1667	6.9188	637	1903.7988	2.9654	64638
"Federación de Rusia"	"RUS"	20.3537	11.6774	0.9928	90.5498	-0.171	-84.2323	7560	34.1283	36.4428	3.5348	460	4709.851	28.5826	8089100
"Arabia Saudita"	"SAU"	62.5552	15.0875	0.0043	99.9957	2.5768	-289.5716	15830	3.2084	63.0347	7.2172	59	5378.0565	55.6887	9770
"Sudán"	"SDN"	98.7696	0.3089	68.2464	30.9516	2.4951	-124.7693	880	5.1391	30.6191	7.8683	1712	366.4955	24.4518	701116
"Senegal"	"SEN"	55.1203	0.4485	45.49	53.613	2.7162	53.2766	870	1.0221	24.1161	8.006	686	252.4098	2.892	85930
"El Salvador"	"SLV"	90.6989	1.1657	22.2449	47.8281	0.3155	47.8876	3250	0.8944	28.2472	9.5203	1784	748.12	1.261	3002
"Serbia"	"SRB"	23.1034	7.0786	4.8976	89.9391	-0.4055	36.5711	4580	0.2413	28.3104	4.6479	686	2249.0786	1.8119	25708
"República Eslovaca"	"SVK"	21.2463	6.8433	3.3762	70.9226	0.0292	66.521	14840	0.1278	38.157	6.4537	824	3320.7591	0.5739	19324
"Eslovenia"	"SVN"	44.4244	8.0495	6.3834	69.2378	0.5592	52.6728	21950	0.1704	35.1521	7.6307	1162	3627.5235	0.2738	12470
"Suecia"	"SWE"	71.5855	5.2535	19.7197	32.4525	0.7416	32.9125	52190	0.2981	30.3188	7.413	624	5472.1354	1.347	282030
"Togo"	"TGO"	64.9351	0.2397	85.0894	12.7894	2.7231	14.5885	400	0.3123	18.6892	2.7381	1168	417.118	8.5891	3464
"Tailandia"	"THA"	50.911	3.9947	17.9673	81.0725	0.2703	42.2781	3270	8.021	44.7381	7.0934	1622	1579.2801	5.3678	189276
"Trinidad y Tobago"	"TTO"	10.2244	36.8168	0.1362	99.8638	0.4685	-115.8467	15020	2.243	62.0698	1.9374	2200	14601.8461	58.9363	2286
"Túnez"	"TUN"	50.7376	2.358	13.3265	86.5936	0.9551	12.5827	3550	0.4969	31.1779	10.2155	207	883.9813	7.5572	9568
"Turquía"	"TUR"	26.8618	4.0949	5.0549	90.4979	1.1732	72.7265	8500	6.2323	27.7461	9.7574	593	1438.5163	0.4609	109776
"Tanzanía"	"TZA"	68.0564	0.144	88.7739	10.013	3.0844	7.5181	510	14.7643	21.6685	4.0677	1071	441.2104	7.8164	346382
"Ucrania"	"UKR"	12.8842	6.9107	0.6196	81.6927	-0.5968	40.585	2570	0.4685	36.7341	2.7179	565	2953.0152	10.6896	96270
"Uruguay"	"URY"	91.5037	1.7963	16.7551	61.9546	0.2611	61.369	6370	1.2493	27.1799	14.2149	1300	949.8148	3.029	16096
"Estados Unidos"	"USA"	41.0227	19.2375	3.4521	85.6147	0.9511	28.5856	48640	94.222	22.1886	6.195	715	7758.1657	1.6091	3028736
"Uzbekistán"	"UZB"	11.2879	4.3914	0.0083	98.8513	1.4235	-25.5113	760	1.0931	32.0085	1.8419	206	1773.3451	72.8652	32872
"Venezuela"	"VEN"	52.9865	5.8685	1.235	87.4902	1.6375	-223.7199	7520	25.3265	53.3081	7.1611	2044	2274.6975	33.4466	471378
"Viet Nam"	"VNM"	32.8173	1.3528	32.2106	62.9677	1.0832	-37.9537	850	12.0528	38.5116	6.7727	1821	543.5511	14.8324	133650
"Sudáfrica"	"ZAF"	13.4668	9.0633	10.2675	87.7031	1.3757	-16.229	5970	20.7411	29.6899	4.0391	495	2811.2815	5.9402	92410
"Congo, República Democrática del"	"COD"	51.1658	0.0473	93.9001	2.9845	3.2408	-4.5274	250	19.9461	31.9445	1.7651	1543	299.8333	30.7287	1550692
"Zambia"	"ZMB"	70.6897	0.1503	82.281	6.6376	2.8439	6.3645	880	3.7621	34.8854	4.4154	1020	588.4524	22.0671	499678
"Zimbabwe"	"ZWE"	18.9902	0.7319	64.1934	28.3061	1.2856	8.1425	380	1.9307	33.075	1.9749	657	716.5196	15.6865	166050
